C0000100,model,rank,csv_code,ref_id,variable,survey_year,feature_group,question,shap_logit,abs_shap_logit,probability,y_true
103001,L2 logistic regression,1,Y1417500,Y14175.00,YASR-66,2002,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,2.3280770100768535,2.3280770100768535,0.9916970645491036,1
103001,L2 logistic regression,2,Y1417600,Y14176.00,YASR-67,2002,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2.2088090198748183,2.2088090198748183,0.9916970645491036,1
103001,L2 logistic regression,3,Y0969800,Y09698.00,YASR-67,1998,prior delinquency/contact,YA SELF-REPORT: EVER BEEN ON PROBATION?,-0.7772512812671267,0.7772512812671267,0.9916970645491036,1
103001,L2 logistic regression,4,Y0670200,Y06702.00,YASR-61O,1996,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN LAST YEAR HURT SOMEONE ENOUGH TO,0.7709914004197289,0.7709914004197289,0.9916970645491036,1
103001,L2 logistic regression,5,C0781100,C07811.00,MS880775,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.7363726030577047,0.7363726030577047,0.9916970645491036,1
103001,L2 logistic regression,6,Y0967600,Y09676.00,YASR-61O,1998,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN LAST YEAR HURT SOMEONE ENOUGH TO,0.5598764532300667,0.5598764532300667,0.9916970645491036,1
103001,L2 logistic regression,7,Y0969700,Y09697.00,YASR-65B,1998,prior delinquency/contact,YA SELF-REPORT: EVER BEEN CONVICTED OF ANYTHING IN ADULT COURT?,0.5126196571980522,0.5126196571980522,0.9916970645491036,1
103001,L2 logistic regression,8,Y0967900,Y09679.00,YASR-62A,1998,prior delinquency/contact,YASR: EVER BEEN CONVICTED OF CHARGES OTHER THAN MINOR TRAFFIC,-0.4148244175068875,0.4148244175068875,0.9916970645491036,1
103001,Gradient boosting stumps,1,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,-0.5475052743472311,0.5475052743472311,0.4406417866565689,1
103001,Gradient boosting stumps,2,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,0.0951911590015961,0.0951911590015961,0.4406417866565689,1
103001,Gradient boosting stumps,3,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL",0.0700558945707148,0.0700558945707148,0.4406417866565689,1
103001,Gradient boosting stumps,4,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET),0.053254126472181,0.053254126472181,0.4406417866565689,1
103001,Gradient boosting stumps,5,Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH,0.020801825636472,0.020801825636472,0.4406417866565689,1
103001,Gradient boosting stumps,6,Y2590306,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -,0.0100386001245592,0.0100386001245592,0.4406417866565689,1
103001,Gradient boosting stumps,7,Y3456000,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF,0.0081985917148948,0.0081985917148948,0.4406417866565689,1
103001,Gradient boosting stumps,8,Y3332600,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED,0.0057460716060246,0.0057460716060246,0.4406417866565689,1
