csv_code,baseline_auc,permuted_auc,auc_drop,baseline_accuracy,permuted_accuracy,accuracy_drop,ref_id,variable,survey_year,feature_group,question
C6051000,0.9493346097109319,0.9368036157057217,0.012530994005210183,0.8884397736459175,0.8649959579628133,0.023443815683104274,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD
Y1176200,0.9493346097109319,0.9397617777219799,0.00957283198895198,0.8884397736459175,0.8795472918350848,0.008892481810832686,Y11762.00,YASR-61B,2000,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
C6120500,0.9493346097109319,0.9411872404088594,0.008147369302072494,0.8884397736459175,0.8730800323362975,0.015359741309620034,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD
Y3300000,0.9493346097109319,0.9422988397518387,0.007035769959093163,0.8884397736459175,0.8690379951495554,0.019401778496362154,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
Y3456000,0.9493346097109319,0.9424479248401912,0.0068866848707406225,0.8884397736459175,0.8763136620856912,0.01212611156022636,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF
Y2616600,0.9493346097109319,0.9442814098741408,0.005053199836791089,0.8884397736459175,0.8811641067097817,0.007275666936135794,Y26166.00,RESTYPE2010,2010,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
C0008048,0.9493346097109319,0.9444958831591391,0.004838726551792738,0.8884397736459175,0.8803556992724333,0.00808407437348424,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
Y1177000,0.9493346097109319,0.9447600514735884,0.004574558237343429,0.8884397736459175,0.8811641067097817,0.007275666936135794,Y11770.00,YASR-67,2000,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y3332600,0.9493346097109319,0.9451471495977318,0.004187460113200037,0.8884397736459175,0.8811641067097817,0.007275666936135794,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
C2466100,0.9493346097109319,0.9455316321940094,0.00380297751692249,0.8884397736459175,0.8884397736459175,0.0,C24661.00,CSAS040B,2000,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y3676400,0.9493346097109319,0.9457408744232761,0.0035937352876557194,0.8884397736459175,0.883589329021827,0.004850444624090566,Y36764.00,RESTYPE2016,2016,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
